Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
t9_gallo_fire_plr,sound\t9\gallo\fire\t9_gallo_fire.wav,t9_gallo_fire_act_plr,loaded,bus_fx,grp_weapon,snp_wpn_1p,@ce86373b,65,0,95,95,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,-25,25,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_act_plr,sound\t9\gallo\fire\t9_gallo_fire_act.wav,t9_gallo_fire_ads_plr,loaded,bus_fx,grp_weapon,snp_wpn_1p,@ce86373b,65,0,90,90,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,-25,25,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_ads_plr,sound\t9\gallo\fire\t9_gallo_fire_ads.wav,t9_gallo_fire_lfe_plr,loaded,bus_fx,grp_weapon,snp_wpn_1p,@ce86373b,65,0,90,90,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,-25,25,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_lfe_plr,sound\t9\gallo\fire\t9_gallo_fire_lfe.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,@ce86373b,65,0,95,95,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,-25,25,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_pap_plr,sound\pap\pap_shot.wav,t9_gallo_fire_flux_l_pap_plr,loaded,bus_hdrfx,grp_weapon,snp_wpn_1p,,0,0,87,87,0,5000,5000,allon,default,allon,default,1,8,oldest,oldest,0,0,90,90,0.25,1,2d,wpn_all,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_flux_r_pap_plr,sound\pap\pap_flux_right.wav,t9_gallo_fire_plr,loaded,bus_fx,grp_weapon,snp_wpn_3p,,0,0,75,75,25,900,900,allon,default,allon,default,8,4,priority,priority,-34,34,85,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,right_shot,4000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_flux_l_pap_plr,sound\pap\pap_flux_left.wav,t9_gallo_fire_flux_r_pap_plr,loaded,bus_fx,grp_weapon,snp_wpn_3p,,0,0,75,75,25,900,900,allon,default,allon,default,8,4,priority,priority,-34,34,85,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,left_shot,4000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_npc,sound\t9\gallo\fire\t9_gallo_fire.wav,t9_gallo_fire_act_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,85,85,900,900,900,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,-25,25,20,90,0.25,0.8,3d,default,nonlooping,variant,1,0,0,0,0,0.3,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_act_npc,sound\t9\gallo\fire\t9_gallo_fire_act.wav,t9_gallo_fire_ads_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,85,85,900,900,900,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,-25,25,20,90,0.25,0.8,3d,default,nonlooping,variant,1,0,0,0,0,0.3,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
t9_gallo_fire_ads_npc,sound\t9\gallo\fire\t9_gallo_fire_ads.wav,t9_gallo_fire_lfe_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,85,85,900,900,900,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,-25,25,20,90,0.25,0.8,3d,default,nonlooping,variant,1,0,0,0,0,0.3,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
