Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
wpn_vulcan_dist_loop_npc,sounds\wpn\lmg\vulcan\npc\fire\dist\wpn_vulcan_fire_loop_dist_npc.LL65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,85,85,900,6000,12500,sindelay,default,sindelay,allon,8,1,priority,reject,0,0,90,40,0.25,1,3d,default,looping,variant,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,200,yes,no,,0,,no,no,no
wpn_vulcan_dist_loop_ring_npc,sounds\wpn\lmg\vulcan\npc\fire\dist\wpn_vulcan_fire_stop_dist_npc.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,85,85,900,6000,12500,sindelay,default,sindelay,allon,8,1,priority,reject,0,0,90,40,0.25,1,3d,default,nonlooping,variant,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,50,0,yes,no,,0,,no,no,no
wpn_vulcan_fire_lfe_ring_plr,sounds\wpn\lmg\minigun\wpn_minigun_shot_lfe_ring_plr.LN65.pc.snd.wav,,loaded,bus_hdrfx,grp_wpn_lfe,snp_wpn_1p,,0,0,86,86,0,5000,5000,allon,default,allon,default,1,2,oldest,oldest,0,0,85,90,0.25,1,2d,lfe,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
wpn_vulcan_fire_loop_lfe_plr,sounds\wpn\lmg\vulcan\plr\lfe\wpn_vulcan_fire_lfe_plr.LL65.pc.snd.wav,,loaded,bus_hdrfx,grp_wpn_lfe,snp_wpn_1p,,0,0,86,86,0,5000,5000,allon,default,allon,default,8,1,priority,reject,0,0,85,90,0.25,1,2d,lfe,looping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
wpn_vulcan_fire_loop_npc,sounds\wpn\lmg\vulcan\plr\fire\wpn_vulcan_fire_loop_plr.LL65.pc.snd.wav,wpn_vulcan_dist_loop_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,70,0,85,85,900,900,901,cosdelay,alloff,cosdelay,default,8,1,priority,reject,0,0,50,90,0.25,0.8,3d,default,looping,pitch,1,150,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,50,200,yes,no,,0,,no,no,no
wpn_vulcan_fire_loop_plr,sounds\wpn\lmg\vulcan\plr\fire\wpn_vulcan_fire_loop_plr.LL65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,@ce86373b,70,0,93,93,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,90,90,0.25,1,2d,front_mostly,looping,,1,500,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,50,200,yes,no,,0,,no,no,no
wpn_vulcan_fire_loop_ring_npc,sounds\wpn\lmg\vulcan\plr\fire\wpn_vulcan_fire_stop_plr.LN65.pc.snd.wav,wpn_vulcan_dist_loop_ring_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,70,0,85,85,900,900,901,cosdelay,alloff,cosdelay,default,8,1,priority,reject,0,0,50,90,0.25,0.8,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_vulcan_fire_loop_ring_plr,sounds\wpn\lmg\vulcan\plr\fire\wpn_vulcan_fire_stop_plr.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,70,0,93,93,0,5000,5000,allon,default,allon,default,1,8,oldest,oldest,0,0,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,50,0,yes,no,,0,,no,no,no
wpn_vulcan_fire_loop_start_npc,sounds\wpn\lmg\vulcan\plr\fire\wpn_vulcan_fire_stop_plr.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,70,0,85,85,900,900,901,cosdelay,alloff,cosdelay,default,8,1,priority,reject,0,0,50,90,0.25,0.8,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_vulcan_fire_loop_start_plr,sounds\wpn\lmg\vulcan\plr\fire\wpn_vulcan_fire_start_plr.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,70,0,93,93,0,5000,5000,allon,default,allon,default,1,8,oldest,oldest,0,0,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
