Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
iw3_m40a3_fire_plr,sound\iw3\m40a3\iw3_m40a3_fire_plr.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,70,0,85,85,0,8500,5000,allon,default,allon,default,2,8,oldest,oldest,-656,-468,90,90,0.25,1,2d,quad,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_m40a3_fire_npc,sound\iw3\m40a3\iw3_m40a3_fire_npc.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,65,0,80,80,900,6000,12500,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,-656,-468,20,90,0.25,0.8,3d,default,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_m40a3_reload_start,sound\iw3\m40a3\iw3_m40a3_reload_start.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,85,85,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_m40a3_reload_loop,sound\iw3\m40a3\reload_loop\iw3_m40a3_reload_loop_01.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,85,85,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_m40a3_reload_loop,sound\iw3\m40a3\reload_loop\iw3_m40a3_reload_loop_02.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,85,85,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_m40a3_reload_out,sound\iw3\m40a3\iw3_m40a3_reload_out.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,85,85,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_m40a3_rechamber,sound\iw3\m40a3\iw3_m40a3_rechamber.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,85,85,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_r700_fire_plr,sound\iw3\r700\iw3_r700_fire_plr.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,70,0,85,85,0,8500,5000,allon,default,allon,default,2,8,oldest,oldest,-656,-468,90,90,0.25,1,2d,quad,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_r700_fire_npc,sound\iw3\r700\iw3_r700_fire_npc.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,65,0,80,80,900,6000,12500,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,-656,-468,20,90,0.25,0.8,3d,default,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
iw3_r700_reload_start,sound\iw3\r700\iw3_r700_reload_start.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,85,85,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
